kdrama_name,platform
One Well-Raised Daughter,
Bachelor's Vegetable Store,
7th Grade Civil Servant,
Home for Summer,KBS World
A Thousand Days' Promise,
Life Is Beautiful,
Just Dance,Viki
Eccentric! Chef Moon,Viki
Happy Together,
Endless Love,Viki
Splendid Politics,Viki
Ms. Perfect,Viki
Risky Romance,AsianCrush
Risky Romance, Prime Video
Risky Romance, Viki
Secrets and Lies,
Hundred Year Inheritance,Viki
Bravo My Life,KBS World
Romance Town,
Lovers in Bloom,KBS World
Vampire Prosecutor,
Feast of the Gods,Viki
The Greatest Marriage,Netflix
Which Star Are You From,
Secret Mother,SBS World
Secret Mother, Viki
The Blade and Petal,
